num_elements,VEC,delta_r,delta_en,S_mix,H_mix,T_melt,omega,x_Ag,x_Al,x_B,x_C,x_Ca,x_Co,x_Cr,x_Cu,x_Fe,x_Ga,x_Hf,x_Li,x_Mg,x_Mn,x_Mo,x_Nb,x_Nd,x_Ni,x_Pd,x_Re,x_Sc,x_Si,x_Sn,x_Ta,x_Ti,x_V,x_W,x_Y,x_Zn,x_Zr,test_temperature,test_type_compression,micro_BCC_based,micro_BCC_single,micro_FCC_based,micro_FCC_single,micro_Mixed,micro_Unknown,proc_ANNEAL,proc_CAST,proc_OTHER,proc_POWDER,proc_WROUGHT,grain_size_known,grain_size_log,YS_MPa
4,8.538461538461538,3.8455432742376923,0.07699996157687501,10.685926202534507,-6.059171597633137,1704.6923076923078,3.0063872436193995,0.0,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,158.0
4,8.142857142857142,4.972811491864396,0.09707981147446855,11.238732128524116,-9.46938775510204,1649.5714285714284,1.9577919810697837,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0,346.0
4,7.8,5.627482320419662,0.1093902290984995,11.467435803685827,-11.946666666666667,1601.8,1.5375450895933944,0.0,0.2,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0,794.0
4,7.5,6.043426966215649,0.1175531794550874,11.52565131835077,-13.75,1560.0,1.3076375313909738,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,964.0
3,9.0,0.6531972647421814,0.03299831645537215,9.133862567986663,-1.3333333333333333,1769.0,12.118352162067216,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,204.0
3,9.0,0.6531972647421814,0.03299831645537215,9.133862567986663,-1.3333333333333333,1769.0,12.118352162067216,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,209.0
4,8.615384615384615,3.0762288499972366,0.03249032627991205,10.685926202534507,-2.366863905325444,1762.6923076923078,7.958209965256681,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,196.0
4,8.285714285714285,4.0300468229727,0.031943828249996926,11.238732128524116,-3.1020408163265305,1757.2857142857142,6.366667811779698,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,476.0
4,8.0,4.621455228488242,0.031382939455839455,11.467435803685827,-3.626666666666667,1752.6,5.541680511820101,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1301.0
4,8.25,1.1761590026042914,0.09669539802906858,11.52565131835077,-3.75,1871.75,5.752836761364613,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,0,1,0,0,0,0,0,0,1,1,3.2188758248682006,274.0
